
----------------------Identifiers for file birthDateToCurrentAge.py-----------------------------------

identifier = newsprin, Row = 19, Col = [13, 21]
identifier = IntVar, Row = 19, Col = [24, 30]
identifier = thermal_gun, Row = 20, Col = [13, 24]
identifier = IntVar, Row = 20, Col = [27, 33]
identifier = rice, Row = 22, Col = [13, 17]
identifier = IntVar, Row = 22, Col = [20, 26]
identifier = food_oil, Row = 23, Col = [13, 21]
identifier = IntVar, Row = 23, Col = [24, 30]
identifier = wheat, Row = 24, Col = [13, 18]
identifier = IntVar, Row = 24, Col = [21, 27]
identifier = daal, Row = 25, Col = [13, 17]
identifier = IntVar, Row = 25, Col = [20, 26]
identifier = flour, Row = 26, Col = [13, 18]
identifier = IntVar, Row = 26, Col = [21, 27]
identifier = maggi, Row = 27, Col = [13, 18]
identifier = IntVar, Row = 27, Col = [21, 27]
identifier = sprite, Row = 29, Col = [13, 19]
identifier = IntVar, Row = 29, Col = [22, 28]
identifier = limka, Row = 30, Col = [13, 18]
identifier = IntVar, Row = 30, Col = [21, 27]
identifier = mazza, Row = 31, Col = [13, 18]
identifier = IntVar, Row = 31, Col = [21, 27]
identifier = coke, Row = 32, Col = [13, 17]
identifier = IntVar, Row = 32, Col = [20, 26]
identifier = fanta, Row = 33, Col = [13, 18]
identifier = IntVar, Row = 33, Col = [21, 27]
identifier = mountain_duo, Row = 34, Col = [13, 25]
identifier = IntVar, Row = 34, Col = [28, 34]
identifier = medical_price, Row = 36, Col = [13, 26]
identifier = StringVar, Row = 36, Col = [29, 38]
identifier = grocery_price, Row = 37, Col = [13, 26]
identifier = StringVar, Row = 37, Col = [29, 38]
identifier = cold_drinks_price, Row = 38, Col = [13, 30]
identifier = StringVar, Row = 38, Col = [33, 42]
identifier = c_name, Row = 40, Col = [13, 19]
identifier = StringVar, Row = 40, Col = [22, 31]
identifier = c_phone, Row = 41, Col = [13, 20]
identifier = StringVar, Row = 41, Col = [23, 32]
identifier = bill_no, Row = 42, Col = [13, 20]
identifier = StringVar, Row = 42, Col = [23, 32]
identifier = x, Row = 43, Col = [8, 9]
identifier = randint, Row = 43, Col = [19, 26]
identifier = bill_no, Row = 44, Col = [13, 20]
identifier = set, Row = 44, Col = [21, 24]
identifier = str, Row = 44, Col = [25, 28]
identifier = x, Row = 44, Col = [29, 30]
identifier = search_bill, Row = 45, Col = [13, 24]
